Volatility 3 Framework 2.27.0

PID	Process	Args

4	System	-
100	Registry	-
440	smss.exe	\SystemRoot\System32\smss.exe
664	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
752	wininit.exe	wininit.exe
800	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
828	services.exe	C:\WINDOWS\system32\services.exe
840	lsass.exe	C:\WINDOWS\system32\lsass.exe
896	winlogon.exe	winlogon.exe
68	fontdrvhost.ex	"fontdrvhost.exe"
392	fontdrvhost.ex	"fontdrvhost.exe"
464	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s PlugPlay
740	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p
1040	svchost.exe	C:\WINDOWS\system32\svchost.exe -k RPCSS -p
1100	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM
1168	LogonUI.exe	-
1176	dwm.exe	"dwm.exe"
1248	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService -s TermService
1264	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi
1280	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -s BTAGService
1320	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s BthAvctpSvc
1344	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s bthserv
1388	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
1396	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
1428	WUDFHost.exe	"C:\Windows\System32\WUDFHost.exe" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-f36d2488-9751-46ac-9f8b-abfa86e0ffb0 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-b3adbced-d31e-47e4-a271-46865a23a12d -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-d3f4703a-d3a8-4af8-82a2-988ebeb323f9 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-f9c0aea6-25a6-4e86-83c5-2e37342d3c9f -LifetimeId:dc46676e-9652-4f6f-87d7-92a674f1775b -DeviceGroupId:WudfDefaultDevicePool -HostArg:0
1496	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p
1624	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DisplayEnhancementService
1704	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s hidserv
1712	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s BDESVC
1776	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s PhoneSvc
1804	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
1908	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TabletInputService
1932	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s UmRdpService
1956	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SensrSvc
2000	svchost.exe	C:\WINDOWS\system32\svchost.exe -k appmodel -p -s StateRepository
2008	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s ProfSvc
2044	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SensorService
2184	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DevQueryBroker
2212	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DeviceAssociationService
2368	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
2400	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s EventSystem
2424	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
2444	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager
2468	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s Themes
2492	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -s CertPropSvc
2676	MemCompression	-
2700	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s SENS
2772	dasHost.exe	dashost.exe {31e2ec11-4670-4f05-89567a54e4adad61}
2780	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation
2800	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc
2844	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s NlaSvc
2936	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule
2956	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
2980	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s FontCache
3108	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s SessionEnv
3132	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalService -p -s netprofm
3184	svchost.exe	C:\WINDOWS\system32\svchost.exe -k NetworkService -p -s Dnscache
3312	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p
3360	WUDFHost.exe	"C:\Windows\System32\WUDFHost.exe" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-3a643b10-05f1-4cc6-bd7e-6cb812cd7872 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-74398ab9-d38c-49f7-89a9-735bf1ccb13a -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-ba617a5c-647c-4f22-b376-b4adcade1255 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-83dcbf4f-b9cb-42df-8afc-200b2dbeff52 -LifetimeId:95b6c6da-2d27-47d0-8ac8-2438e39b6bb6 -DeviceGroupId:WudfDefaultDevicePoolPriorityHigh -HostArg:0
3412	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV
3632	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p
3716	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p
3752	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s ShellHWDetection
3860	spoolsv.exe	C:\WINDOWS\System32\spoolsv.exe
3944	svchost.exe	C:\WINDOWS\system32\svchost.exe -k WbioSvcGroup -s WbioSrvc
3988	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
3336	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p
4176	dasHost.exe	dashost.exe {de95c1ed-978c-4db8-87ad608b9d7365cc}
4228	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p
4376	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
4472	armsvc.exe	"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"
4508	IntelCpHDCPSvc	C:\WINDOWS\System32\DriverStore\FileRepository\64gh6299.inf_amd64_94401bd29769cd59\IntelCpHDCPSvc.exe
4520	svchost.exe	C:\WINDOWS\system32\svchost.exe -k NetworkService -p -s CryptSvc
4568	svchost.exe	C:\WINDOWS\System32\svchost.exe -k utcsvc -p
