Volatility 3 Framework 2.27.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xb78cf30b30c0	197	-	N/A	False	2020-11-11 08:13:00.000000 UTC	N/A	Disabled
100	4	Registry	0xb78cf32a8040	4	-	N/A	False	2020-11-11 08:12:57.000000 UTC	N/A	Disabled
440	4	smss.exe	0xb78cf7aa1040	2	-	N/A	False	2020-11-11 08:13:00.000000 UTC	N/A	Disabled
664	528	csrss.exe	0xb78cfa03b180	10	-	0	False	2020-11-11 08:13:13.000000 UTC	N/A	Disabled
752	528	wininit.exe	0xb78cfa7a4080	3	-	0	False	2020-11-11 08:13:14.000000 UTC	N/A	Disabled
800	740	csrss.exe	0xb78cfa7a2080	13	-	1	False	2020-11-11 08:13:14.000000 UTC	N/A	Disabled
828	752	services.exe	0xb78cfa484080	7	-	0	False	2020-11-11 08:13:14.000000 UTC	N/A	Disabled
840	752	lsass.exe	0xb78cfa25f280	9	-	0	False	2020-11-11 08:13:14.000000 UTC	N/A	Disabled
896	740	winlogon.exe	0xb78cfa262080	3	-	1	False	2020-11-11 08:13:14.000000 UTC	N/A	Disabled
68	752	fontdrvhost.ex	0xb78cfa63e140	5	-	0	False	2020-11-11 08:13:14.000000 UTC	N/A	Disabled
392	896	fontdrvhost.ex	0xb78cfa619140	6	-	1	False	2020-11-11 08:13:14.000000 UTC	N/A	Disabled
464	828	svchost.exe	0xb78cfa642240	1	-	0	False	2020-11-11 08:13:14.000000 UTC	N/A	Disabled
740	828	svchost.exe	0xb78cfa659200	15	-	0	False	2020-11-11 08:13:14.000000 UTC	N/A	Disabled
1040	828	svchost.exe	0xb78cfa69e280	11	-	0	False	2020-11-11 08:13:14.000000 UTC	N/A	Disabled
1100	828	svchost.exe	0xb78cfa6c4240	7	-	0	False	2020-11-11 08:13:14.000000 UTC	N/A	Disabled
1168	896	LogonUI.exe	0xb78cfa6a1080	0	-	1	False	2020-11-11 08:13:14.000000 UTC	2020-11-14 03:42:49.000000 UTC	Disabled
1176	896	dwm.exe	0xb78cfa89c080	14	-	1	False	2020-11-11 08:13:14.000000 UTC	N/A	Disabled
1248	828	svchost.exe	0xb78cfccd92c0	266	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1264	828	svchost.exe	0xb78cfcd072c0	5	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1280	828	svchost.exe	0xb78cfcd020c0	3	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1320	828	svchost.exe	0xb78cfcd112c0	3	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1344	828	svchost.exe	0xb78cfcd0e080	7	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1388	828	svchost.exe	0xb78cfcd58240	4	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1396	828	svchost.exe	0xb78cfcd5a300	3	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1428	828	WUDFHost.exe	0xb78cfcd62080	11	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1496	828	svchost.exe	0xb78cfcda82c0	6	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1624	828	svchost.exe	0xb78cfce0e280	7	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1704	828	svchost.exe	0xb78cfce7c240	7	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1712	828	svchost.exe	0xb78cfce7f240	4	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1776	828	svchost.exe	0xb78cfceb52c0	2	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1804	828	svchost.exe	0xb78cfced0300	6	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1908	828	svchost.exe	0xb78cfcf50280	4	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1932	828	svchost.exe	0xb78cfcf79280	4	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
1956	828	svchost.exe	0xb78cfcf83300	9	-	0	False	2020-11-11 08:13:15.000000 UTC	N/A	Disabled
2000	828	svchost.exe	0xb78cfcf5a240	3	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2008	828	svchost.exe	0xb78cfcf5c080	3	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2044	828	svchost.exe	0xb78cfcf66280	7	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2184	828	svchost.exe	0xb78cfec94280	2	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2212	828	svchost.exe	0xb78cfec98280	4	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2368	828	svchost.exe	0xb78cfecdc300	5	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2400	828	svchost.exe	0xb78cfece62c0	7	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2424	828	svchost.exe	0xb78cfed28240	6	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2444	828	svchost.exe	0xb78cfed29080	5	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2468	828	svchost.exe	0xb78cfed4e0c0	3	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2492	828	svchost.exe	0xb78cfed4f080	5	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2676	4	MemCompression	0xb78cfedcf040	154	-	N/A	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2700	828	svchost.exe	0xb78cfedd1240	4	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2772	2212	dasHost.exe	0xb78cfee47280	3	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2780	828	svchost.exe	0xb78cfee492c0	4	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2800	828	svchost.exe	0xb78cfee7b300	4	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2844	828	svchost.exe	0xb78cfee7c080	5	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2936	828	svchost.exe	0xb78cfeea7240	11	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2956	828	svchost.exe	0xb78cfeed5280	3	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
2980	828	svchost.exe	0xb78cfeed72c0	5	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
3108	828	svchost.exe	0xb78cfefe6240	6	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
3132	828	svchost.exe	0xb78cfefe32c0	7	-	0	False	2020-11-11 08:13:16.000000 UTC	N/A	Disabled
3184	828	svchost.exe	0xb78cff0632c0	10	-	0	False	2020-11-11 08:13:17.000000 UTC	N/A	Disabled
3312	828	svchost.exe	0xb78cff0892c0	8	-	0	False	2020-11-11 08:13:17.000000 UTC	N/A	Disabled
3360	828	WUDFHost.exe	0xb78cff110080	6	-	0	False	2020-11-11 08:13:17.000000 UTC	N/A	Disabled
3412	828	svchost.exe	0xb78cff086300	10	-	0	False	2020-11-11 08:13:17.000000 UTC	N/A	Disabled
3632	828	svchost.exe	0xb78cff23b2c0	4	-	0	False	2020-11-11 08:13:17.000000 UTC	N/A	Disabled
3716	828	svchost.exe	0xb78cff2ed240	12	-	0	False	2020-11-11 08:13:17.000000 UTC	N/A	Disabled
3752	828	svchost.exe	0xb78cff306240	4	-	0	False	2020-11-11 08:13:17.000000 UTC	N/A	Disabled
3860	828	spoolsv.exe	0xb78cff36c200	11	-	0	False	2020-11-11 08:13:17.000000 UTC	N/A	Disabled
3944	828	svchost.exe	0xb78cff36f240	10	-	0	False	2020-11-11 08:13:18.000000 UTC	N/A	Disabled
3988	828	svchost.exe	0xb78cff3802c0	12	-	0	False	2020-11-11 08:13:18.000000 UTC	N/A	Disabled
3336	828	svchost.exe	0xb78cff40f2c0	3	-	0	False	2020-11-11 08:13:18.000000 UTC	N/A	Disabled
4176	2212	dasHost.exe	0xb78cff546280	1	-	0	False	2020-11-11 08:13:18.000000 UTC	N/A	Disabled
4228	828	svchost.exe	0xb78cff5582c0	3	-	0	False	2020-11-11 08:13:18.000000 UTC	N/A	Disabled
4376	828	svchost.exe	0xb78cff5f4300	2	-	0	False	2020-11-11 08:13:18.000000 UTC	N/A	Disabled
4472	828	armsvc.exe	0xb78cfad472c0	3	-	0	True	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
4508	828	IntelCpHDCPSvc	0xb78cff7580c0	3	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
4520	828	svchost.exe	0xb78cff75a2c0	7	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
4568	828	svchost.exe	0xb78cff766200	9	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
4608	828	svchost.exe	0xb78cff7ad2c0	17	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
4668	828	svchost.exe	0xb78cff83f240	11	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
4748	828	svchost.exe	0xb78cff8312c0	4	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
4760	828	svchost.exe	0xb78cff8a4280	6	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
4772	828	svchost.exe	0xb78cff8a20c0	3	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
4864	828	MsMpEng.exe	0xb78cff8bd300	28	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
4872	828	svchost.exe	0xb78cff8bc080	7	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
4904	828	svchost.exe	0xb78cff830080	5	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
5084	828	svchost.exe	0xb78cfa49c240	5	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
5104	828	svchost.exe	0xb78cff9fb080	3	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
5140	828	IntelCpHeciSvc	0xb78cffaec0c0	3	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
5340	828	svchost.exe	0xb78cffbf4200	12	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	Disabled
1404	828	svchost.exe	0xb78d000c2080	2	-	0	False	2020-11-11 08:13:27.000000 UTC	N/A	Disabled
5928	828	svchost.exe	0xb78d000ac0c0	5	-	0	False	2020-11-11 08:13:27.000000 UTC	N/A	Disabled
5896	828	NisSrv.exe	0xb78d001650c0	4	-	0	False	2020-11-11 08:13:28.000000 UTC	N/A	Disabled
6864	828	svchost.exe	0xb78d00519080	7	-	0	False	2020-11-11 08:13:35.000000 UTC	N/A	Disabled
6636	828	svchost.exe	0xb78cffd822c0	11	-	0	False	2020-11-11 08:13:39.000000 UTC	N/A	Disabled
7080	828	svchost.exe	0xb78cfee7a080	3	-	0	False	2020-11-11 08:13:39.000000 UTC	N/A	Disabled
6468	2444	sihost.exe	0xb78d008e8340	15	-	1	False	2020-11-11 08:13:40.000000 UTC	N/A	Disabled
7064	828	svchost.exe	0xb78d006f5080	3	-	1	False	2020-11-11 08:13:40.000000 UTC	N/A	Disabled
7052	828	svchost.exe	0xb78d008e7080	8	-	1	False	2020-11-11 08:13:40.000000 UTC	N/A	Disabled
6532	828	svchost.exe	0xb78d0092e080	5	-	1	False	2020-11-11 08:13:40.000000 UTC	N/A	Disabled
6700	2936	taskhostw.exe	0xb78d00933080	7	-	1	False	2020-11-11 08:13:40.000000 UTC	N/A	Disabled
7180	828	svchost.exe	0xb78d0094a240	4	-	0	False	2020-11-11 08:13:40.000000 UTC	N/A	Disabled
7404	896	userinit.exe	0xb78d00a18080	0	-	1	False	2020-11-11 08:13:41.000000 UTC	2020-11-11 08:14:16.000000 UTC	Disabled
7444	828	svchost.exe	0xb78d00a1d300	8	-	0	False	2020-11-11 08:13:41.000000 UTC	N/A	Disabled
7464	7404	explorer.exe	0xb78d009dc0c0	129	-	1	False	2020-11-11 08:13:41.000000 UTC	N/A	Disabled
7504	828	svchost.exe	0xb78d009de2c0	7	-	0	False	2020-11-11 08:13:41.000000 UTC	N/A	Disabled
7856	828	svchost.exe	0xb78d00465300	2	-	0	False	2020-11-11 08:13:42.000000 UTC	N/A	Disabled
7912	828	svchost.exe	0xb78d00b3b300	3	-	0	False	2020-11-11 08:13:42.000000 UTC	N/A	Disabled
8028	828	svchost.exe	0xb78d00b7d300	4	-	1	False	2020-11-11 08:13:42.000000 UTC	N/A	Disabled
8156	6676	GoogleCrashHan	0xb78d00ce9340	3	-	0	True	2020-11-11 08:13:42.000000 UTC	N/A	Disabled
8164	6676	GoogleCrashHan	0xb78d00ce70c0	3	-	0	False	2020-11-11 08:13:42.000000 UTC	N/A	Disabled
8384	828	svchost.exe	0xb78d000af080	2	-	0	False	2020-11-11 08:13:45.000000 UTC	N/A	Disabled
8620	828	svchost.exe	0xb78d00649080	4	-	1	False	2020-11-11 08:13:47.000000 UTC	N/A	Disabled
8748	740	dllhost.exe	0xb78d006f6080	4	-	1	False	2020-11-11 08:13:47.000000 UTC	N/A	Disabled
8800	7464	crashpad_handl	0xb78d053d0080	7	-	1	False	2020-11-11 08:13:48.000000 UTC	N/A	Disabled
8872	828	SearchIndexer.	0xb78d05552240	0	-	0	False	2020-11-11 08:13:48.000000 UTC	2020-11-14 14:17:59.000000 UTC	Disabled
9108	740	StartMenuExper	0xb78d056c0080	12	-	1	False	2020-11-11 08:13:49.000000 UTC	N/A	Disabled
9188	740	RuntimeBroker.	0xb78d0009f080	5	-	1	False	2020-11-11 08:13:49.000000 UTC	N/A	Disabled
8312	740	SearchApp.exe	0xb78d057eb080	39	-	1	False	2020-11-11 08:13:50.000000 UTC	N/A	Disabled
8436	740	RuntimeBroker.	0xb78cff855300	14	-	1	False	2020-11-11 08:13:51.000000 UTC	N/A	Disabled
4940	828	svchost.exe	0xb78cf7680080	5	-	0	False	2020-11-11 08:13:51.000000 UTC	N/A	Disabled
9708	740	SettingSyncHos	0xb78d05c77240	6	-	1	False	2020-11-11 08:13:52.000000 UTC	N/A	Disabled
