Volatility 3 Framework 2.27.0

Offset	Order	PID	Start	State	Type	Name	Display	Binary	Binary (Registry)	Dll

0x1a892c69430	415	1040	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	RpcEptMapper	RPC Endpoint Mapper	C:\WINDOWS\system32\svchost.exe -k RPCSS -p	%SystemRoot%\system32\svchost.exe -k RPCSS -p	%SystemRoot%\System32\RpcEpMap.dll
0x1a892c69440	414	7504	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	RmSvc	Radio Management Service	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted	%SystemRoot%\System32\svchost.exe -k LocalServiceNetworkRestricted	%SystemRoot%\System32\RMapi.dll
0x1a892c683f0	413	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	rhproxy	Resource Hub proxy driver	N/A	\SystemRoot\System32\drivers\rhproxy.sys	-
0x1a892c62d70	412	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	RFCOMM	Bluetooth Device (RFCOMM Protocol TDI)	\Driver\RFCOMM	\SystemRoot\System32\drivers\rfcomm.sys	-
0x1a892c64530	411	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	RetailDemo	Retail Demo Service	N/A	%SystemRoot%\System32\svchost.exe -k rdxgroup	-
0x1a892c69b80	410	N/A	SERVICE_DISABLED	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	RemoteRegistry	Remote Registry	N/A	%SystemRoot%\system32\svchost.exe -k localService -p	%SystemRoot%\system32\regsvc.dll
0x1a892c68960	409	N/A	SERVICE_DISABLED	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	RemoteAccess	Routing and Remote Access	N/A	%SystemRoot%\System32\svchost.exe -k netsvcs	-
0x1a892c68b30	408	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_FILE_SYSTEM_DRIVER	ReFSv1	ReFSv1	N/A	-	-
0x1a892c62b10	407	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_FILE_SYSTEM_DRIVER	ReFS	ReFS	N/A	-	-
0x1a892c635c0	406	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	rdyboost	ReadyBoost	\Driver\rdyboost	System32\drivers\rdyboost.sys	-
0x1a892c63230	405	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	RdpVideoMiniport	Remote Desktop Video Miniport Driver	\Driver\RdpVideoMiniport	System32\drivers\rdpvideominiport.sys	-
0x1a892c63100	404	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	RDPDR	Remote Desktop Device Redirector Driver	\Driver\RDPDR	System32\drivers\rdpdr.sys	-
